# UV350AG,,,
# ,6 DEG,30 DEG,45 DEG
2324,97.773465,98.295476,98.282981
2323,97.848708,98.293001,98.31206
2322,97.838116,98.32418,98.307936
2321,97.797672,98.366768,98.27393
2320,97.776993,98.351308,98.268362
2319,97.894237,98.35714,98.290044
2318,97.929143,98.350832,98.312376
2317,97.866782,98.334836,98.282432
2316,97.826625,98.300771,98.236074
2315,97.881929,98.284814,98.240969
2314,97.881241,98.300853,98.278019
2313,97.932257,98.343972,98.263027
2312,97.972666,98.368225,98.275163
2311,98.023087,98.369636,98.277872
2310,98.051441,98.352646,98.252019
2309,98.043303,98.352377,98.267381
2308,97.975957,98.342455,98.235725
2307,98.010104,98.301645,98.240735
2306,98.060945,98.291116,98.249861
2305,98.041967,98.300648,98.251229
2304,97.990377,98.334185,98.235048
2303,97.978132,98.352474,98.26018
2302,97.972761,98.330418,98.262141
2301,97.962804,98.307039,98.227554
2300,97.974837,98.322173,98.201823
2299,97.983119,98.331702,98.199598
2298,98.027769,98.326967,98.208894
2297,98.105733,98.319762,98.216252
2296,98.071136,98.313949,98.249099
2295,97.980581,98.293057,98.229076
2294,97.96436,98.315897,98.233965
2293,98.021187,98.34591,98.250922
2292,98.025901,98.350892,98.229199
2291,97.968861,98.341395,98.190547
2290,97.994004,98.308574,98.211695
2289,97.989474,98.276718,98.193733
2288,97.940217,98.271298,98.1791
2287,97.949002,98.291931,98.192973
2286,97.915278,98.304227,98.269081
2285,97.886088,98.333999,98.245046
2284,97.882339,98.355548,98.220981
2283,97.85091,98.36373,98.220888
2282,97.820015,98.352864,98.234244
2281,97.844135,98.327441,98.238445
2280,97.85979,98.305759,98.213417
2279,97.822098,98.304336,98.193153
2278,97.881873,98.285195,98.174525
2277,97.910915,98.309312,98.152028
2276,97.944008,98.316742,98.188428
2275,97.979886,98.316397,98.229316
2274,97.954195,98.322731,98.220874
2273,97.900532,98.331721,98.22896
2272,97.930438,98.324336,98.239552
2271,97.974449,98.328485,98.245472
2270,98.018258,98.253809,98.174661
2269,98.06377,98.270276,98.171059
2268,98.057862,98.258584,98.17053
2267,97.976009,98.280593,98.227493
2266,97.855774,98.306331,98.236246
2265,97.884312,98.281913,98.236447
2264,97.896928,98.304984,98.215024
2263,97.878058,98.311784,98.19231
2262,97.721987,98.298415,98.214977
2261,97.773204,98.274678,98.15465
2260,97.958511,98.26096,98.148846
2259,98.028888,98.25749,98.155221
2258,97.998777,98.26891,98.139656
2257,97.90594,98.291508,98.220048
2256,97.802707,98.312311,98.217745
2255,97.720281,98.311362,98.195634
2254,97.636106,98.29807,98.195858
2253,97.611142,98.275455,98.210512
2252,97.682296,98.248969,98.161452
2251,97.787683,98.276444,98.150767
2250,97.774142,98.316707,98.185336
2249,97.807213,98.306859,98.156497
2248,97.828351,98.288012,98.170282
2247,97.748834,98.234217,98.189905
2246,97.646146,98.234582,98.171335
2245,97.757465,98.270181,98.157275
2244,97.800732,98.287864,98.189364
2243,97.76437,98.2866,98.145326
2242,97.742494,98.309003,98.162778
2241,97.76353,98.277507,98.167432
2240,97.769894,98.247075,98.162325
2239,97.835326,98.240681,98.169516
2238,98.017988,98.276618,98.170329
2237,98.178305,98.27151,98.206156
2236,98.098326,98.300065,98.215445
2235,98.088875,98.272922,98.213759
2234,98.183593,98.238608,98.176624
2233,98.126132,98.264938,98.197925
2232,98.060863,98.290391,98.207678
2231,98.023022,98.286881,98.204165
2230,97.998184,98.267212,98.198376
2229,97.969486,98.279901,98.18941
2228,98.12864,98.258082,98.131487
2227,98.107539,98.217224,98.122485
2226,98.077987,98.238131,98.150352
2225,98.027164,98.275068,98.160435
2224,97.994472,98.301074,98.186102
2223,97.992164,98.306652,98.197511
2222,97.938896,98.272013,98.208718
2221,97.974177,98.290629,98.192062
2220,98.00985,98.265658,98.181088
2219,98.059342,98.267582,98.161462
2218,97.989511,98.262796,98.184937
2217,97.85651,98.278971,98.168844
2216,97.967758,98.299277,98.194874
2215,97.824847,98.30943,98.166942
2214,97.754429,98.309419,98.207063
2213,97.792404,98.243343,98.152654
2212,97.994408,98.198491,98.196681
2211,98.0731,98.220396,98.146639
2210,98.000593,98.297204,98.17895
2209,97.975716,98.228651,98.190273
2208,98.109754,98.27069,98.080017
2207,98.001017,98.306175,98.196882
2206,98.063831,98.293787,98.237314
2205,98.091752,98.292288,98.149437
2204,97.886402,98.17283,98.136898
2203,97.898129,98.239168,98.180535
2202,97.961532,98.309351,98.133565
2201,98.037206,98.302886,98.171761
2200,97.874713,98.181294,98.11682
2199,97.988292,98.251035,98.206651
2198,98.12125,98.269448,98.243083
2197,98.018314,98.276547,98.120101
2196,97.911514,98.195146,98.177794
2195,97.95952,98.286377,98.211563
2194,97.967546,98.311796,98.165352
2193,97.834735,98.221118,98.149851
2192,97.843407,98.223001,98.166043
2191,97.943523,98.296283,98.144564
2190,98.000446,98.185219,98.200962
2189,98.02806,98.26622,98.188824
2188,97.924033,98.284078,98.169405
2187,97.957956,98.195403,98.153712
2186,98.034868,98.247464,98.214924
2185,98.074451,98.258234,98.231437
2184,98.083462,98.30691,98.207295
2183,98.099848,98.212277,98.17672
2182,98.071894,98.263065,98.21774
2181,98.090166,98.299725,98.164831
2180,98.128035,98.250824,98.220578
2179,97.992151,98.270001,98.186516
2178,97.820087,98.325519,98.179917
2177,97.791574,98.30885,98.15095
2176,97.890696,98.25064,98.12555
2175,97.975302,98.174463,98.171383
2174,97.824962,98.237915,98.18445
2173,97.826548,98.239464,98.124645
2172,97.933003,98.273955,98.151026
2171,97.965292,98.242274,98.181631
2170,98.000418,98.294905,98.214518
2169,98.064742,98.28854,98.183053
2168,98.146296,98.260232,98.22359
2167,98.100984,98.225645,98.209547
2166,98.057869,98.274812,98.194017
2165,98.00921,98.277851,98.200461
2164,98.045684,98.298689,98.221244
2163,98.025937,98.266486,98.179056
2162,98.005553,98.229958,98.183403
2161,97.937262,98.22834,98.213268
2160,97.914049,98.276612,98.217349
2159,97.921801,98.280036,98.211894
2158,97.957595,98.245963,98.195813
2157,98.101436,98.2441,98.186517
2156,98.037486,98.279307,98.220625
2155,97.961374,98.275094,98.235445
2154,98.014867,98.281626,98.160305
2153,98.046702,98.278173,98.166141
2152,97.974859,98.253476,98.167595
2151,97.90221,98.268976,98.178546
2150,98.046926,98.273055,98.180364
2149,98.103086,98.250288,98.11613
2148,98.079335,98.220792,98.188129
2147,97.929829,98.201273,98.193733
2146,97.924579,98.279437,98.212655
2145,97.959081,98.26677,98.183902
2144,97.812428,98.254201,98.235749
2143,97.882439,98.258369,98.220606
2142,97.988033,98.184577,98.176939
2141,98.035411,98.193079,98.152455
2140,98.094557,98.257185,98.172998
2139,97.933707,98.260126,98.186092
2138,97.858001,98.258871,98.20736
2137,97.881953,98.223887,98.197628
2136,97.810902,98.182269,98.151242
2135,97.838803,98.22145,98.216705
2134,97.877201,98.254456,98.178797
2133,97.864825,98.247361,98.167701
2132,97.870891,98.252956,98.128621
2131,97.899365,98.228153,98.187716
2130,97.890675,98.173605,98.188621
2129,97.864932,98.187784,98.204309
2128,97.802959,98.198888,98.20829
2127,97.864261,98.232433,98.191362
2126,97.869532,98.25455,98.182165
2125,97.915408,98.247902,98.159706
2124,97.909912,98.204402,98.173179
2123,97.957186,98.191073,98.102885
2122,97.884002,98.222047,98.157085
2121,97.851782,98.228084,98.163199
2120,97.850651,98.254887,98.163483
2119,97.853802,98.256268,98.159845
2118,97.839159,98.200631,98.157264
2117,97.850631,98.188502,98.183022
2116,97.864917,98.146942,98.185186
2115,97.741059,98.2042,98.187516
2114,97.734418,98.252069,98.159569
2113,97.748241,98.25576,98.168017
2112,97.780002,98.231271,98.147468
2111,97.74872,98.221114,98.187882
2110,97.767671,98.23101,98.170336
2109,97.803781,98.251058,98.190566
2108,97.770179,98.206311,98.22808
2107,97.716057,98.180445,98.171777
2106,97.655764,98.215367,98.131909
2105,97.572079,98.260007,98.136115
2104,97.564973,98.268793,98.144632
2103,97.684367,98.251443,98.161913
2102,97.755564,98.250153,98.161886
2101,97.647094,98.232121,98.145718
2100,97.634679,98.235837,98.093235
2099,97.634248,98.225927,98.099492
2098,97.622733,98.182781,98.09515
2097,97.68379,98.207136,98.094918
2096,97.745221,98.242899,98.113317
2095,97.715867,98.23573,98.157821
2094,97.672267,98.238128,98.150604
2093,97.702195,98.21522,98.146586
2092,97.745814,98.202706,98.171497
2091,97.688835,98.195767,98.18169
2090,97.640718,98.237651,98.170065
2089,97.615292,98.24868,98.163873
2088,97.650914,98.211334,98.187947
2087,97.668767,98.194551,98.178037
2086,97.711199,98.153382,98.157853
2085,97.687022,98.147444,98.142094
2084,97.653531,98.139963,98.116248
2083,97.62069,98.175296,98.13221
2082,97.663058,98.19421,98.152713
2081,97.738559,98.223378,98.131603
2080,97.781435,98.247869,98.143586
2079,97.821341,98.204931,98.155502
2078,97.837438,98.188507,98.151955
2077,97.840308,98.199333,98.190124
2076,97.76811,98.205309,98.182983
2075,97.670503,98.189203,98.1657
2074,97.672378,98.170435,98.150722
2073,97.648216,98.186275,98.167763
2072,97.653733,98.194893,98.160362
2071,97.760619,98.195617,98.131863
2070,97.791681,98.201911,98.124803
2069,97.780908,98.215564,98.145505
2068,97.779487,98.23513,98.130614
2067,97.787757,98.214299,98.121528
2066,97.813779,98.204156,98.116886
2065,97.773958,98.190886,98.138596
2064,97.724128,98.159217,98.121315
2063,97.753463,98.168715,98.10679
2062,97.790787,98.153523,98.09787
2061,97.75514,98.1496,98.095267
2060,97.733209,98.167517,98.089526
2059,97.70107,98.164895,98.10434
2058,97.670588,98.180372,98.117173
2057,97.662423,98.177669,98.125206
2056,97.681004,98.16998,98.122172
2055,97.725929,98.160176,98.098079
2054,97.712158,98.142799,98.116392
2053,97.682014,98.150526,98.144427
2052,97.713678,98.131495,98.146186
2051,97.756655,98.150975,98.145723
2050,97.769888,98.181321,98.137131
2049,97.818973,98.180469,98.135696
2048,97.856514,98.187118,98.127805
2047,97.855483,98.173651,98.118127
2046,97.855633,98.169533,98.124396
2045,97.903704,98.171095,98.131111
2044,97.918057,98.180887,98.131075
2043,97.882706,98.177227,98.122072
2042,97.880541,98.155138,98.099337
2041,97.826471,98.179131,98.105495
2040,97.71957,98.201278,98.119754
2039,97.687002,98.195016,98.090403
2038,97.711671,98.192946,98.081865
2037,97.728165,98.184282,98.100497
2036,97.715336,98.209301,98.095026
2035,97.765417,98.242096,98.082393
2034,97.789722,98.237529,98.093688
2033,97.776169,98.227564,98.099404
2032,97.821775,98.221825,98.093441
2031,97.814706,98.246462,98.093885
2030,97.757919,98.240577,98.089286
2029,97.742113,98.22817,98.07331
2028,97.73918,98.230791,98.063731
2027,97.717294,98.207335,98.066292
2026,97.733327,98.192532,98.068102
2025,97.76694,98.195551,98.086997
2024,97.742108,98.198362,98.092397
2023,97.727593,98.197701,98.075082
2022,97.732292,98.163603,98.069886
2021,97.70073,98.146031,98.066435
2020,97.661822,98.138297,98.087481
2019,97.654456,98.12359,98.109601
2018,97.66937,98.139222,98.093802
2017,97.723408,98.16972,98.089638
2016,97.773128,98.194981,98.091476
2015,97.794984,98.213498,98.082721
2014,97.788563,98.214682,98.068769
2013,97.75436,98.204898,98.080333
2012,97.707723,98.18933,98.074489
2011,97.694177,98.181611,98.087098
2010,97.741536,98.170786,98.076283
2009,97.732561,98.163128,98.056605
2008,97.694688,98.186766,98.102395
2007,97.675305,98.177993,98.124037
2006,97.691463,98.153779,98.102268
2005,97.699718,98.1722,98.07597
2004,97.652254,98.190564,98.066829
2003,97.673306,98.199297,98.032111
2002,97.698424,98.209221,98.024382
2001,97.695425,98.215548,98.042864
2000,97.713087,98.216861,98.060247
1999,97.745067,98.200867,98.037381
1998,97.771959,98.141853,98.015275
1997,97.791734,98.107167,98.054311
1996,97.763901,98.121978,98.062819
1995,97.820326,98.16974,98.065955
1994,97.869122,98.200233,98.065225
1993,97.821627,98.211188,98.07875
1992,97.740623,98.231317,98.057849
1991,97.71542,98.199909,98.014543
1990,97.666804,98.141821,98.022495
1989,97.646376,98.113103,98.044064
1988,97.646503,98.140814,98.073883
1987,97.570545,98.153448,98.053996
1986,97.561402,98.174916,98.01397
1985,97.650971,98.210662,98.028097
1984,97.745985,98.131005,98.052422
1983,97.802397,98.154616,98.066622
1982,97.764626,98.169863,98.030444
1981,97.773111,98.152851,98.018098
1980,97.772213,98.124872,98.007648
1979,97.790601,98.112808,98.059846
1978,97.807654,98.150149,98.09538
1977,97.788194,98.164374,98.044324
1976,97.711233,98.187983,98.018672
1975,97.681094,98.106547,98.032645
1974,97.700978,98.154818,98.013012
1973,97.657573,98.19515,98.011821
1972,97.697727,98.188346,98.010829
1971,97.844104,98.157715,98.030707
1970,97.939637,98.10083,98.023256
1969,97.759199,98.129171,98.017259
1968,97.673369,98.176899,97.993371
1967,97.695037,98.129912,97.934104
1966,97.731807,98.154736,97.977364
1965,97.706582,98.109006,98.018609
1964,97.748221,98.136426,98.012
1963,97.819335,98.177051,97.981185
1962,97.78508,98.129091,97.959305
1961,97.785511,98.073252,97.953604
1960,97.736894,98.159726,98.05722
1959,97.772561,98.178948,97.99303
1958,97.909775,98.167888,97.931247
1957,97.871524,98.210604,97.986037
1956,97.868877,98.120656,98.034566
1955,97.795943,98.095413,97.96993
1954,97.668034,98.134211,97.946797
1953,97.830512,98.148192,97.951828
1952,97.900206,98.129602,97.871677
1951,97.818026,98.150235,97.952429
1950,97.917509,98.198986,97.977892
1949,97.891497,98.102848,97.985611
1948,97.866493,98.018494,97.975273
1947,97.941552,98.130055,97.979299
1946,97.849705,98.183558,97.935011
1945,97.800259,98.07254,97.929057
1944,97.847726,98.126769,97.92669
1943,97.757447,98.174856,97.940837
1942,97.857656,98.253591,97.922656
1941,98.119599,98.179076,97.841022
1940,98.088911,98.090943,97.976765
1939,97.883002,98.109505,97.957319
1938,97.915268,98.122157,97.905797
1937,97.844579,98.098519,98.055895
1936,97.918738,98.061325,98.000463
1935,97.795866,98.099621,98.014258
1934,97.891556,98.117222,97.920536
1933,97.766584,98.142131,97.924041
1932,97.866313,98.110746,98.054259
1931,97.826112,98.121713,98.062487
1930,97.669982,98.102721,97.931638
1929,97.693606,98.133019,97.903307
1928,97.71582,98.159601,97.759945
1927,97.708264,98.058053,97.902477
1926,97.702775,98.09473,97.979024
1925,97.654172,98.0683,97.937549
1924,97.683456,98.076797,97.899256
1923,97.76898,98.017106,97.856348
1922,97.810613,98.064133,98.147332
