#,Protective Aluminum Coating (SiO2),,,,,,,,,,
#WL,Primary ,Secondary,Tertiary,,,,,,,,
409,0.921,0.921,0.921,,,,,,,,0.781
410,0.921,0.921,0.921,,,,,,,,0.781
411,0.921,0.921,0.921,,,,,,,,0.781
412,0.921,0.921,0.921,,,,,,,,0.781
413,0.921,0.921,0.921,,,,,,,,0.781
414,0.921,0.921,0.921,,,,,,,,0.781
415,0.921,0.921,0.921,,,,,,,,0.781
416,0.921,0.921,0.921,,,,,,,,0.781
417,0.921,0.921,0.921,,,,,,,,0.781
418,0.921,0.921,0.921,,,,,,,,0.781
419,0.921,0.921,0.921,,,,,,,,0.781
420,0.921,0.921,0.921,,,,,,,,0.782
421,0.921,0.921,0.921,,,,,,,,0.782
422,0.921,0.921,0.921,,,,,,,,0.782
423,0.921,0.921,0.921,,,,,,,,0.782
424,0.921,0.921,0.921,,,,,,,,0.782
425,0.921,0.921,0.921,,,,,,,,0.782
426,0.921,0.921,0.921,,,,,,,,0.782
427,0.921,0.921,0.921,,,,,,,,0.782
428,0.921,0.921,0.921,,,,,,,,0.782
429,0.921,0.921,0.921,,,,,,,,0.782
430,0.921,0.921,0.921,,,,,,,,0.782
431,0.921,0.921,0.921,,,,,,,,0.782
432,0.922,0.922,0.922,,,,,,,,0.783
433,0.922,0.922,0.922,,,,,,,,0.783
434,0.922,0.922,0.922,,,,,,,,0.783
435,0.922,0.922,0.922,,,,,,,,0.783
436,0.922,0.922,0.922,,,,,,,,0.783
437,0.922,0.922,0.922,,,,,,,,0.783
438,0.921,0.921,0.921,,,,,,,,0.782
439,0.921,0.921,0.921,,,,,,,,0.782
440,0.921,0.921,0.921,,,,,,,,0.782
441,0.921,0.921,0.921,,,,,,,,0.782
442,0.921,0.921,0.921,,,,,,,,0.782
443,0.921,0.921,0.921,,,,,,,,0.781
444,0.921,0.921,0.921,,,,,,,,0.781
445,0.921,0.921,0.921,,,,,,,,0.781
446,0.921,0.921,0.921,,,,,,,,0.781
447,0.921,0.921,0.921,,,,,,,,0.781
448,0.921,0.921,0.921,,,,,,,,0.781
449,0.921,0.921,0.921,,,,,,,,0.780
450,0.921,0.921,0.921,,,,,,,,0.780
451,0.921,0.921,0.921,,,,,,,,0.780
452,0.920,0.920,0.920,,,,,,,,0.780
453,0.920,0.920,0.920,,,,,,,,0.780
454,0.920,0.920,0.920,,,,,,,,0.779
455,0.920,0.920,0.920,,,,,,,,0.779
456,0.920,0.920,0.920,,,,,,,,0.779
457,0.920,0.920,0.920,,,,,,,,0.779
458,0.920,0.920,0.920,,,,,,,,0.779
459,0.920,0.920,0.920,,,,,,,,0.778
460,0.920,0.920,0.920,,,,,,,,0.778
461,0.920,0.920,0.920,,,,,,,,0.778
462,0.920,0.920,0.920,,,,,,,,0.778
